"SID","freq","hourBlock","day","beepvar","Full_Date","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","self_esteem","lonely","negEmo"
21655,17,1,13,49,"12/22/13 12:00",4,3,1,3,1,2,2,4,1,3,4,2,4
78053,57,1,15,57,"12/20/13 12:01",NA,4,2,5,1,1,NA,3,1,3,4,1,1
78053,57,1,14,53,"12/19/13 12:19",2,2,1,3,1,4,5,5,2,4,5,2,2
77137,51,1,14,53,"12/18/13 13:48",2,5,3,4,2,3,3,3,3,3,3,2,2
78053,57,1,13,49,"12/18/13 12:24",1,3,2,5,1,3,5,5,1,4,5,1,1
21655,17,1,8,29,"12/17/13 13:19",NA,4,3,3,1,2,NA,3,1,3,4,3,3
77137,51,1,13,49,"12/17/13 13:02",NA,3,4,5,2,2,NA,3,2,4,4,3,2
21655,17,1,7,25,"12/16/13 12:31",2,2,3,4,2,4,3,4,2,4,4,2,3
78053,57,1,11,41,"12/16/13 12:09",2,3,2,3,1,4,4,4,3,4,4,1,3
51790,36,1,14,53,"12/16/13 12:01",2,3,2,3,1,4,4,4,3,3,5,2,2
78053,57,1,10,37,"12/15/13 12:01",1,4,1,3,1,3,4,4,2,4,5,1,3
77137,51,1,10,37,"12/14/13 14:13",3,3,2,1,3,2,3,4,5,4,2,3,3
78053,57,1,9,33,"12/14/13 12:04",NA,5,1,2,2,1,NA,4,4,3,3,2,3
77137,51,1,9,33,"12/13/13 13:19",2,5,1,2,3,2,2,4,4,3,3,3,3
78053,57,1,8,29,"12/13/13 12:12",1,5,1,3,1,1,4,5,2,3,5,1,2
51790,36,1,11,41,"12/13/13 12:04",1,5,2,3,1,1,2,4,3,4,5,1,2
77137,51,1,8,29,"12/12/13 13:09",NA,3,2,3,3,2,NA,4,2,3,3,3,3
78053,57,1,7,25,"12/12/13 12:33",1,5,1,1,2,1,1,5,3,3,4,1,4
61687,12,1,10,37,"12/11/13 13:29",1,3,1,3,1,4,4,5,3,4,4,1,2
21655,17,1,2,5,"12/11/13 13:10",1,2,1,2,1,5,3,3,2,3,4,2,1
78053,57,1,6,21,"12/11/13 13:07",1,5,1,3,1,2,4,5,1,4,5,1,2
77137,51,1,7,25,"12/11/13 12:58",NA,4,2,2,4,2,NA,5,4,3,2,3,4
77137,51,1,6,21,"12/10/13 13:20",NA,3,2,3,2,3,NA,4,3,3,3,3,2
17588,20,1,9,33,"12/10/13 12:17",1,4,1,3,1,3,3,4,2,3,3,2,1
78053,57,1,5,17,"12/10/13 12:04",NA,5,1,1,3,1,NA,4,4,5,3,4,4
11260,25,1,8,29,"12/9/13 13:20",NA,5,5,4,3,1,NA,2,2,2,2,4,3
77137,51,1,5,17,"12/9/13 12:47",NA,3,3,3,4,2,NA,5,3,5,3,3,3
30564,17,1,15,57,"12/9/13 12:14",2,4,4,3,2,1,2,2,2,2,3,2,3
78053,57,1,4,13,"12/9/13 12:00",1,3,2,3,1,3,5,5,3,5,5,1,1
77137,51,1,4,13,"12/8/13 12:56",NA,5,5,4,2,1,NA,2,2,5,3,3,2
11260,25,1,7,25,"12/8/13 12:42",NA,5,5,4,2,1,NA,2,2,3,3,1,2
16461,20,1,14,53,"12/8/13 12:40",2,3,2,3,1,3,3,3,2,3,3,1,2
44257,44,1,14,53,"12/8/13 12:08",1,2,2,5,1,4,3,3,1,5,4,1,1
30564,17,1,14,53,"12/8/13 12:02",2,3,3,4,2,3,3,4,2,4,4,2,2
78053,57,1,3,9,"12/8/13 12:00",1,5,2,4,2,3,3,4,1,4,4,2,2
51790,36,1,5,17,"12/7/13 13:18",2,2,1,5,1,5,3,3,1,4,5,1,2
44257,44,1,13,49,"12/7/13 12:29",NA,2,3,5,1,4,NA,4,2,5,5,1,1
77137,51,1,3,9,"12/7/13 12:20",NA,5,5,5,2,1,NA,2,1,5,4,2,1
564,46,1,15,57,"12/7/13 12:13",NA,3,5,5,1,1,NA,4,1,5,4,1,2
78053,57,1,2,5,"12/7/13 12:02",NA,5,2,4,1,1,NA,3,1,2,4,3,2
11260,25,1,6,21,"12/7/13 12:00",NA,5,5,4,2,1,NA,2,1,3,2,3,2
17588,20,1,5,17,"12/6/13 13:22",1,3,2,3,1,3,3,3,3,4,3,2,1
70573,55,1,15,57,"12/6/13 13:20",NA,5,4,3,1,1,NA,2,2,3,4,2,2
77137,51,1,2,5,"12/6/13 13:14",1,4,5,4,1,1,3,3,1,3,3,3,2
68513,7,1,2,5,"12/6/13 12:35",1,2,3,3,1,3,3,3,1,3,3,1,2
30564,17,1,12,45,"12/6/13 12:22",2,2,2,2,2,3,2,3,3,4,3,2,3
74950,13,1,5,17,"12/6/13 12:20",1,3,3,4,1,4,4,4,1,4,4,1,1
11260,25,1,5,17,"12/6/13 12:13",1,2,2,4,1,5,3,4,1,4,5,1,1
98863,13,1,15,57,"12/6/13 12:04",1,2,2,4,1,4,4,5,1,5,4,1,1
8608,19,1,14,53,"12/5/13 14:45",1,3,1,3,1,3,4,4,3,4,4,1,2
24827,41,1,13,49,"12/5/13 14:07",2,4,3,2,3,2,2,2,3,2,2,3,3
16461,20,1,11,41,"12/5/13 13:38",2,3,2,3,1,3,4,4,2,3,4,1,2
