"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0.1147,0,0,0,0,0,0,0,0,0,0.1054,0,0,0,0,0.0929,0.1039,0,0,0,0,0.1641,0,0,0,0,0.1261,0,0,0.1304,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.1358,0,0.1248,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889,0.0819,0,0.0984,0,0,0,0,0,0.0749,0,0,0,0,0.083,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744,0,0,0,0,0,0.1269,0,0,0,0.0369,0,0,0,0.0793,0,0,0,0,0.0662
"A_Rspct",0,0,0,0,0,0,0,0,0.1253,0.3634,0,0,0.1993,0.1657,0,0,0,0,0,0,0,0.1476,0,0,0,0,0,0,0,0,0,0,0,0.18
"A_Trust",0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0.1048,0,0,0.0768,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0.0706,0,0,0,0,0,0,0.0678,0,0,0,0,0.0661,0,0.0863,0,0,0,0.1169,0,0,0,0,0,0,0,0.0946,0,0
"C_Prdctv",0.1797,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1714,0,0,0.3382,0,0,0,0.1095,0,0,0,0,0,0.1644,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0.0785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1139,0,0,0.1732,0,0,0,0,0
"N_Anxty",0,0,0,0,0.2072,0,0,0,0,0,0,0,0,0,0,0,0.1115,0,0,0,0,0,0,0,0,0,0.1772,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745,0.1841,0,0.0575,0,0,0,0.0601,0,0,0,0.0543,0.0855,0.1102,0.0856,0,0,0,0,0
"N_EmoVol",0,0,0,0,0.0784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1052,0,0,0,0,0,0.1082,0,0,0,0,0
"O_IntCur",0,0,0,0,0.1432,0.1259,0,0.0789,0,0,0,0,0,0,0.1571,0,0,0,0,0.1317,0,0,0,0,0,0,0.1657,0,0,0.1221,0,0,0.3314,0
"O_AesSens",0,0,0.1298,0,0,0,0,0.0706,0,0,0,0,0.1329,0,0,0.2938,0,0,0,0,0,0,0,0,0,0,0.1777,0,0,0,0.12,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966,0,0,0,0,0,0,0,0,0,0.1448,0,0,0,0,0,0,0,0.1148,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996,0,0.1852,0,0,0,0,0,0.1269
"AnxSWk",0.0399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682,0,0,0,0,0.1124,0
