"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0,0,-0.3639,0,0,0,0,0,0.33,0,0,0,0,0,-0.17,0,0,-0.3182,0,0,0,0,0,0,0,0,0,0,0,-0.436,0
"E_Assert",0,0,0,-0.337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2975,0,0.1975,0,-0.2902,0,0,0,-0.217,0,0,0,0,0,0,0.418
"E_EnerLev",0,0,0,0,0,0,0,0,0.3423,0,0,0,0.1433,0,0,0,0,0,0,-0.2921,0,0.1784,0,0,0,0,0,0,0,0.2046,0,0,0,0
"A_Cmpn",-0.1768,0.6243,0,0,0,0,0,0.4674,0,0,0,0,0,0,0,0,0,0,0,0,-0.1379,0,0,0,0,0,-0.1845,0,0.2833,0,0,0,0,0
"A_Rspct",0,0,0.1886,-0.0859,0,0,0,0,0,0,0.3116,0,0,0.2643,0,0.3396,0,-0.1906,0,-0.0935,-0.1862,0.0577,-0.2019,0.2398,0.156,0.419,-0.9127,0.4465,0.1028,0,0.3323,0,-0.1172,1.0641
"A_Trust",0,0.2817,0,0,0,0,0,0,0,0,0.2072,0,0,0,0,0,-0.3884,0,0,0,0,0,0.0887,0,-0.3555,0,0,0,-0.1544,0.2917,0,0,-0.3265,0
"C_Org",0,0.4552,0,0,0,0.2564,0,0,0,0,0,0,0,-0.3949,-1.1921,0,-0.255,-0.1995,0,-0.2583,0,0.3495,0,-0.2553,0,0.3616,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0.2284,0,0,0.456,-0.1533,-0.1991,0,-0.3451,0,0,0,0.2429,0,0.7088,0,-0.22,0,0,0.375,-0.4301,0,-0.1403,0,0,0,0,0,0
"C_Rspnbl",-0.1552,-0.0837,0,0,0,0.2392,0,-0.4672,0,0,0,0,0,0,0,0,0,-0.3148,0,0.3379,-0.5195,-0.2091,0,0,0.1361,-0.2065,0,0.1689,-0.2176,0,0,-0.3265,0,0
"N_Anxty",0,0,0.1878,-0.1563,0,0,0,0,0,0,0.4311,0,0,0.7009,0,0,1.0559,0,0,0,0,0,0,0,0,0.3619,-0.0404,0,0,0,0,0,0.3497,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,-0.1588,0,0,0.1582,0,0,0,0,0,0.2348,0,0,0,0,0,0.0672,0,0,0,0,0,0
"N_EmoVol",0,0,-0.3061,0.2592,0,0,0.6795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1726,0,0,0.0394,0,0,0.2921,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2888,0,0,0,0,0,0,0,0,0,0,0,-0.1042,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,-1.1576,0,0,-0.2523,0,0,0,0,0,0,-0.35,0,0,0,0,0,0,0,0,0,0,-0.0779,-0.3257,0,0
"O_CrtvImag",0.3088,-0.3008,0,0,0,0,0.9006,0,0,0,0,0.8917,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4139,0,-0.592,0,0,0,-0.1752,0,0.5883
"angry",0,0,0,-0.2852,0,0,0,0,0.5596,0,0,0,0,0.4808,0,0,0,0,0,0,0,0.3252,0,-0.3173,0,0,-0.4485,0.409,0,0,0,0,-0.5405,0.2054
"AnxSWk",0,0,0,0,-0.2955,0,-0.2951,0,0,0,0,-0.2972,0,0,0,0,0,0,0,0,0.2138,0,0,-0.3418,0,0,0,0.2077,0,0,0,0,0.0455,0
