"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",1922.7504,319,310,0,0.2168,0.1168,-0.4228,0.191,5668.4194,4839.8425,-2109.9212,"converged normally"
"02",327.7361,261,368,0.0031,0.0533,0.0608,0.8317,0.9217,4322.0007,3402.0708,-1333.0354,"converged normally"
"03",1422.9846,278,351,0,0.2104,0.0894,-0.2563,0.3774,5353.2692,4464.3268,-1881.1634,"converged normally"
"05",297.6587,259,370,0.0495,0.041,0.0708,0.8946,0.9514,4564.127,3643.3316,-1451.6658,"converged normally"
"06",2188.5481,328,301,0,0.2511,0.1349,-0.233,0.2791,2985.5227,2233.08,-815.54,"converged normally"
"07",1965.3269,349,280,0,0.2256,0.1332,-0.2902,0.1974,4091.05,3388.0094,-1414.0047,"converged normally"
"08",1513.2384,283,346,0,0.221,0.1201,-0.3828,0.3024,4237.3724,3376.3042,-1342.1521,"converged normally"
"09",978.8232,209,420,0,0.2034,0.0993,-0.3415,0.5002,4820.2093,3774.982,-1467.491,"converged normally"
"10",952.6786,225,404,0,0.1896,0.0922,-0.1492,0.5391,4751.1371,3741.214,-1466.607,"converged normally"
"100",3158.2529,394,235,0,0.2777,0.1789,-0.1518,0.1911,2162.4606,1572.4086,-551.2043,"converged normally"
"101",2364.1674,278,351,0,0.2888,0.1015,-0.4054,0.3036,3117.0176,2239.5844,-768.7922,"converged normally"
"102",2631.7722,355,274,0,0.2669,0.1254,-0.247,0.2109,3172.4097,2487.4618,-969.7309,"converged normally"
"103",374.2066,359,270,0.2794,0.0199,0.0822,0.9293,0.9548,6041.2397,5319.576,-2389.788,"converged normally"
"104",1697.9257,277,352,0,0.2324,0.1119,-0.2827,0.3666,4190.9397,3291.975,-1293.9875,"converged normally"
"105",388.8077,372,257,0.2639,0.02,0.0819,0.9259,0.9509,7594.1228,6893.1841,-3189.5921,"converged normally"
"106",380.8971,356,273,0.1744,0.0239,0.0753,0.9239,0.9517,6955.691,6190.1933,-2822.0966,"converged normally"
"107",322.4787,296,333,0.139,0.0266,0.1004,0.9101,0.9526,5820.3678,4875.8859,-2104.943,"converged normally"
"108",393.1521,380,249,0.31,0.0161,0.0744,0.9386,0.9584,7281.3905,6559.8284,-3030.9142,"converged normally"
"11",1517.7541,284,345,0,0.2209,0.1178,-0.2874,0.3482,4892.5389,4033.9593,-1671.9797,"converged normally"
"110",1456.6881,408,221,0,0.1699,0.137,-0.0355,0.2469,4767.4696,4217.481,-1887.7405,"converged normally"
"111",1793.0391,300,329,0,0.2365,0.0984,-0.2753,0.318,3936.532,3117.7706,-1229.8853,"converged normally"
"112",347.0436,325,304,0.1917,0.027,0.0835,0.9155,0.951,6633.2937,5863.3835,-2627.6917,"converged normally"
"113",1533.3801,286,343,0,0.2214,0.1012,-0.2415,0.3671,5277.7732,4424.1709,-1869.0855,"converged normally"
"115",1929.8501,290,339,0,0.2521,0.1028,-0.281,0.3378,4524.4233,3680.7755,-1501.3878,"converged normally"
"116",2518.653,354,275,0,0.2621,0.1551,-0.073,0.3229,2966.6613,2282.2863,-866.1432,"converged normally"
"117",1712.6341,344,285,0,0.2046,0.1356,-0.186,0.2727,4493.1809,3765.326,-1597.663,"converged normally"
"118",1430.5453,275,354,0,0.202,0.0916,-0.2614,0.3817,4161.8307,3229.1367,-1260.5683,"converged normally"
"119",367.8221,343,286,0.1708,0.0276,0.074,0.9196,0.9509,4965.2774,4234.8686,-1831.4343,"converged normally"
"12",2084.8803,334,295,0,0.2427,0.1107,-0.1528,0.3137,4133.7987,3399.651,-1404.8255,"converged normally"
"121",1377.041,281,348,0,0.2026,0.1002,-0.1096,0.4442,4859.1632,3970.4141,-1637.207,"converged normally"
"122",2030.471,324,305,0,0.2419,0.131,-0.2095,0.3015,3695.7527,2933.3108,-1161.6554,"converged normally"
"123",378.1162,358,271,0.2227,0.0235,0.0904,0.9301,0.9554,5172.592,4461.2244,-1959.6122,"converged normally"
"124",934.5564,247,382,0,0.1703,0.1032,-0.1619,0.4885,4981.1343,4001.5533,-1618.7767,"converged normally"
"126",1469.3306,254,375,0,0.2115,0.0953,-0.4597,0.3391,6428.468,5426.1571,-2338.0786,"converged normally"
"127",2382.3531,359,270,0,0.2516,0.1633,-0.2078,0.2271,2248.7246,1576.7928,-518.3964,"converged normally"
"129",1256.3299,278,351,0,0.1757,0.0852,-0.2221,0.3944,6268.1527,5307.7471,-2302.8735,"converged normally"
"131",2290.5938,326,303,0,0.248,0.1333,-0.3149,0.2359,4266.6862,3483.441,-1438.7205,"converged normally"
"132",838.1095,219,410,0,0.1782,0.1078,-0.0979,0.5714,4191.5417,3171.2008,-1175.6004,"converged normally"
"133",1867.9511,252,377,0,0.2669,0.113,-0.4108,0.3663,5836.6754,4894.2471,-2070.1236,"converged normally"
"135",366.3649,348,281,0.239,0.0227,0.0844,0.9201,0.9504,5074.8221,4337.2047,-1887.6024,"converged normally"
"136",2586.9825,329,300,0,0.2777,0.134,-0.2173,0.2861,1993.0477,1246.4568,-323.2284,"converged normally"
"137",1920.0191,330,299,0,0.2327,0.1285,-0.0127,0.4043,2225.623,1481.5207,-441.7603,"converged normally"
"138",2241.5187,370,259,0,0.2384,0.1576,-0.1604,0.2347,2821.1424,2176.5856,-829.2928,"converged normally"
"139",1987.9766,352,277,0,0.1556,0.1464,0.1023,0.4367,3465.8342,2563.508,-1004.754,"converged normally"
"14",1429.3273,315,314,0,0.1827,0.1106,-0.2174,0.3164,4717.8003,3881.4804,-1626.7402,"converged normally"
"143",1366.5265,262,367,0,0.1882,0.0971,-0.0687,0.5009,4495.1922,3475.2539,-1370.6269,"converged normally"
"146",395.7771,387,242,0.368,0.0114,0.0785,0.9436,0.9611,7383.4612,6616.2041,-3066.102,"converged normally"
"147",1565.292,288,341,0,0.2096,0.1211,-0.1688,0.4,5434.1133,4542.3572,-1930.1786,"converged normally"
"148",1184.243,285,344,0,0.145,0.1264,0.0713,0.5282,6127.1551,5091.4966,-2201.7483,"converged normally"
"149",317.6741,292,337,0.1445,0.0224,0.0855,0.9072,0.9517,8091.0167,7022.5636,-3174.2818,"converged normally"
"15",1506.4004,266,363,0,0.2276,0.105,-0.3871,0.3423,4051.6826,3144.2517,-1209.1258,"converged normally"
"150",399.9427,391,238,0.3665,0.0115,0.0745,0.9419,0.9595,10112.4497,9360.5945,-4442.2973,"converged normally"
"152",381.9378,367,262,0.2848,0.0151,0.0679,0.9378,0.9593,10961.1095,10126.0144,-4801.0072,"converged normally"
"154",391.1216,369,260,0.2053,0.0214,0.0785,0.925,0.9506,7844.9685,7097.4172,-3288.7086,"converged normally"
