"lhs","op","rhs","count.group","count.ind"
"A_Cmpn","~","A_Cmpnlag",152,0
"A_Rspct","~","A_Rspctlag",152,0
"A_Trust","~","A_Trustlag",152,0
"angry","~","angrylag",152,0
"AnxSWk","~","AnxSWklag",152,0
"C_Org","~","C_Orglag",152,0
"C_Prdctv","~","C_Prdctvlag",152,0
"C_Rspnbl","~","C_Rspnbllag",152,0
"E_Assert","~","E_Assertlag",152,0
"E_EnerLev","~","E_EnerLevlag",152,0
"E_Scblty","~","E_Scbltylag",152,0
"N_Anxty","~","N_Anxtylag",152,0
"N_Depr","~","N_Deprlag",152,0
"N_EmoVol","~","N_EmoVollag",152,0
"O_AesSens","~","O_AesSenslag",152,0
"O_CrtvImag","~","O_CrtvImaglag",152,0
"O_IntCur","~","O_IntCurlag",152,0
"N_Depr","~","angry",0,55
"A_Rspct","~","C_Rspnbl",0,49
"angry","~","A_Cmpn",0,46
"angry","~","N_Depr",0,46
"O_IntCur","~","E_Assert",0,45
"O_IntCur","~","E_Scblty",0,45
"AnxSWk","~","N_Anxty",0,45
"angry","~","N_EmoVol",0,45
"angry","~","O_AesSens",0,45
"angry","~","E_Scblty",0,43
"O_AesSens","~","O_IntCur",0,43
"AnxSWk","~","E_Assertlag",0,41
"AnxSWk","~","E_Scblty",0,41
"N_Depr","~","N_Anxty",0,41
"angry","~","O_IntCurlag",0,41
"N_Depr","~","angrylag",0,40
"angry","~","E_EnerLevlag",0,40
"N_Depr","~","N_EmoVol",0,40
"angry","~","A_Rspct",0,39
"N_Anxty","~","N_Depr",0,39
"angry","~","N_Deprlag",0,39
"angry","~","N_EmoVollag",0,39
"angry","~","A_Rspctlag",0,38
"N_Anxty","~","AnxSWk",0,38
"angry","~","C_Org",0,38
"O_IntCur","~","C_Prdctv",0,38
"C_Prdctv","~","C_Rspnbl",0,38
"AnxSWk","~","E_EnerLev",0,38
"N_EmoVol","~","N_Depr",0,38
"E_Scblty","~","A_Rspct",0,37
"A_Trust","~","E_Assert",0,37
"E_EnerLev","~","E_Scblty",0,37
"O_IntCur","~","O_AesSens",0,37
"angry","~","A_Trust",0,36
"angry","~","AnxSWk",0,36
"angry","~","C_Rspnbl",0,36
"E_Assert","~","C_Rspnbl",0,36
"O_CrtvImag","~","C_Rspnbl",0,36
"A_Rspct","~","N_Depr",0,36
"A_Trust","~","N_EmoVollag",0,36
"N_Depr","~","N_EmoVollag",0,36
"A_Cmpn","~","O_CrtvImag",0,36
