"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7695,0,0.1003,0,0,0,0,0,0,0,0,0,0.2947,0,0,0.2302,0,0,0.4376
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759,0,0,0,0.11,0,0,0,0,0,0.0947,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0.1028,0,0,0,0,0,0.1687,0.1204,0,0,0,0,0,0,0.1061,0.1166,0,0,0,0,0,0,0,0.1317,0,0,0,0,0,0
"A_Cmpn",0.0543,0.0912,0.0599,0,0,0,0.1349,0.0538,0.0734,0.04,0,0.158,0,0,0.0622,0.2547,0.1258,0.0209,0,0.0663,0.0414,0.1028,0.0696,0.055,0.1053,0.0456,0.0543,0.205,0.122,0.0538,0.0758,0,0,0.1025
"A_Rspct",0,0.0966,0,0,0,0.0888,0,0.1003,0,0.0978,0.2021,0,0.0992,0,0,0,0,0,0.1023,0,0,0.1189,0,0,0.124,0,0,0,0,0,0,0,0,0.2253
"A_Trust",0,0,0,0,0,0,0,0.0949,0,0,0,0,0,0,0,0.512,0,0,0,0,0,0,0.107,0,0,0.129,0,0.1628,0,0,0,0,0,0.3039
"C_Org",0.0369,0.0696,0,0.1039,0,0.0548,0,0,0,0,0,0,0.0516,0,0,0,0,0,0.0665,0,0,0,0,0.0825,0,0,0,0.1188,0.0782,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.5193,0,0,0,0,0.3125,0,0,0.2749,0,0,0,0,0,0,0,0,0,0,0.3267,0.2671,0.2648,0.2853,0,0.3683,0,0.2965,0.133,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0.0704,0,0.0727,0,0.1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0.2023,0,0,0,0,0,0.1863,0,0,0,0,0,0,0,0,0.1283,0,0,0,0.1181,0.2017,0,0,0,0,0,0
"N_Depr",0.0471,0,0,0,0.0731,0,0.1149,0,0,0,0,0.0981,0,0,0.0474,0,0,0,0,0.0792,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0
"N_EmoVol",0,0.1049,0,0.1874,0.0995,0,0.1654,0,0,0,0.1776,0,0,0,0,0.3783,0,0,0,0,0,0,0,0,0,0.093,0.0795,0,0.1145,0,0,0,0,0
"O_IntCur",0.0653,0,0,0.1337,0.1651,0,0,0,0,0,0.2376,0,0,0,0,0,0.2665,0,0,0,0.1288,0,0,0.1529,0.0986,0,0,0,0,0.0989,0,0,0.3357,0.2321
"O_AesSens",0.019,0.0358,0.0416,0,0,0.0322,0.0854,0,0.0416,0.0327,0.0839,0.0623,0.032,0,0,0,0.0682,0,0,0,0.0369,0.039,0,0.0437,0,0.0342,0,0,0.0535,0.0335,0.0434,0,0.2038,0.0748
"O_CrtvImag",0.2383,0,0,0.8406,0,0,0.6928,0,0,0,0,0.7583,0,0.7199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7879,0,0,0,0.2214,1.3582,0
"angry",0,0,0,0,0.0558,0,0,0,0,0,0,0,0,0,0,0,0,0.0245,0.0489,0.05,0.0471,0,0,0,0,0,0,0,0,0,0,0,0,0.0934
"argument",0,0.0147,0,0.0206,0.0207,0.0151,0,0.0122,0,0,0,0,0.0129,0.0295,0,0,0,0.0086,0.0262,0.0181,0,0,0.0148,0.0189,0,0,0.0158,0,0.0231,0,0,0.0103,0.1118,0.0312
