"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,-0.1443,0,0.2153,0,0,0,-0.2304,0.3624,0,0,0,0,0,0,-0.0635,0,0,0.2522,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0.8273,0,0,0,0,0,0,0,0,0,0,0,0.1904,0,0.131,0,0,0,0,-0.4496,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0.2666,0,0,0,-0.2299,0.3124,0,0,0,0,0,-0.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,-0.1458,0,0,0,0,0,0,0,0.1708,0.3706,0,0,0,0,0,0,0.0529,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,-0.7377,0,0,0,0.2348,0.2407,0,0,0,0,0,0,0.3675,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,-0.1897,0,0,0,0,0,0.1627,0,0,0,0,0,0,0.2674,0,0,-0.0373,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,-0.2389,-0.1742,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0.2094,0.1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202,0,0,-0.2929,0,0,0,0,0
"N_Anxty",0,0,0,-0.1743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1152,0,0,0,0,0,0,0
"N_Depr",0,-0.1607,0,0,0,0,0,0,0,0.2357,0,0,0,-0.1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1059,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0.1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1623,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2739,0.0069,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3886,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1838,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0.1872,0,0,0,-0.1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0079,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0.3737,-0.1966,0.4811,0,0.3835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1612
"argument",0,0,0,0,0,-0.2824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1421,0
