"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",1834.4859,309,320,0,0.2148,0.1185,-0.4192,0.2183,5571.5214,4716.2161,-2038.1081,"converged normally"
"02",318.9015,291,338,0.1253,0.0326,0.0807,0.9104,0.9535,4286.2125,3441.2769,-1382.6384,"converged normally"
"03",1360.7373,236,393,0,0.2264,0.0945,-0.5146,0.3628,5415.3973,4420.0857,-1817.0429,"converged normally"
"05",301.893,294,335,0.3631,0.0174,0.0716,0.9796,0.9893,4444.9261,3611.2329,-1470.6165,"converged normally"
"06",2039.8347,335,294,0,0.2378,0.1263,-0.2001,0.2834,2995.0456,2260.1015,-836.0508,"converged normally"
"07",1876.9028,334,295,0,0.2253,0.1393,-0.2918,0.2309,4035.6207,3294.9171,-1352.4586,"converged normally"
"08",1047.0293,186,443,0,0.2281,0.088,-0.7416,0.4226,4461.0534,3358.5875,-1236.2938,"converged normally"
"09",1019.9359,229,400,0,0.197,0.1012,-0.247,0.491,4766.098,3770.6434,-1485.3217,"converged normally"
"10",1085.8715,241,388,0,0.1974,0.0897,-0.2966,0.443,4791.8183,3821.8921,-1522.9461,"converged normally"
"100",2577.9607,335,294,0,0.2712,0.1382,-0.1193,0.3316,1910.3868,1172.1941,-292.097,"converged normally"
"101",2156.9048,316,313,0,0.2544,0.1279,-0.227,0.3089,3029.9341,2247.4936,-810.7468,"converged normally"
"102",2289.9951,312,317,0,0.2654,0.1222,-0.2909,0.2821,3143.2715,2350.8318,-858.4159,"converged normally"
"103",378.7582,360,269,0.2382,0.0221,0.0826,0.926,0.9525,5789.332,5070.3411,-2266.1705,"converged normally"
"104",1777.3329,281,348,0,0.2368,0.1118,-0.3374,0.3301,4206.3535,3317.6044,-1310.8022,"converged normally"
"105",379.6618,364,265,0.2753,0.0195,0.0792,0.9304,0.9548,7429.0751,6706.3173,-3088.1586,"converged normally"
"106",369.1183,341,288,0.1415,0.026,0.0753,0.9242,0.9539,6729.8237,5922.2656,-2673.1328,"converged normally"
"107",296.3436,264,365,0.0834,0.0312,0.0821,0.8956,0.9509,5652.7732,4617.5304,-1943.7652,"converged normally"
"108",393.0653,375,254,0.2503,0.019,0.0749,0.929,0.9525,7206.0885,6470.0372,-2981.0186,"converged normally"
"11",1547.7901,280,349,0,0.2256,0.1081,-0.3277,0.3373,4872.4762,4003.9421,-1652.9711,"converged normally"
"110",1291.5872,407,222,0,0.1563,0.1527,0.0047,0.2779,4835.2442,4282.7669,-1919.3835,"converged normally"
"111",1767.3143,257,372,0,0.257,0.0907,-0.4945,0.3153,4101.4695,3175.6968,-1215.8484,"converged normally"
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"113",1455.8961,276,353,0,0.2192,0.1032,-0.2525,0.3838,5245.4477,4366.959,-1830.4795,"converged normally"
"115",1879.6576,301,328,0,0.2428,0.1007,-0.2114,0.35,4360.7112,3544.4385,-1444.2192,"converged normally"
"116",2262.1954,347,282,0,0.249,0.1528,-0.024,0.3666,2866.8229,2165.0275,-800.5137,"converged normally"
"117",1812.5172,348,281,0,0.2105,0.1418,-0.1994,0.256,4491.0444,3773.405,-1605.7025,"converged normally"
"118",1867.5158,330,299,0,0.2127,0.1022,-0.2059,0.2907,3997.4387,3209.6547,-1305.8274,"converged normally"
"119",367.9857,342,287,0.1599,0.0283,0.0882,0.9195,0.9509,4910.6449,4177.6822,-1801.8411,"converged normally"
"12",1722.44,305,324,0,0.2285,0.1053,-0.1375,0.3816,4105.0295,3298.7114,-1325.3557,"converged normally"
"121",1248.4333,240,389,0,0.2103,0.0931,-0.1993,0.4869,4848.6776,3855.2195,-1538.6097,"converged normally"
"122",1947.0569,311,318,0,0.2418,0.1186,-0.2522,0.3058,3719.8028,2924.8633,-1144.4317,"converged normally"
"123",384.9357,366,263,0.238,0.0225,0.0886,0.9305,0.9547,5015.2565,4324.8887,-1899.4443,"converged normally"
"124",638.9016,184,445,0,0.1605,0.0662,-0.0135,0.6676,4947.4413,3806.3063,-1458.1532,"converged normally"
"126",1634.3469,275,354,0,0.2149,0.0953,-0.3878,0.3197,6270.0859,5323.9044,-2307.9522,"converged normally"
"127",2591.8512,379,250,0,0.2561,0.1593,-0.2156,0.1788,2260.5138,1638.3547,-569.1774,"converged normally"
