"lhs","op","rhs","count.group","count.ind"
"A_Cmpn","~","A_Cmpnlag",147,0
"A_Rspct","~","A_Rspctlag",147,0
"A_Trust","~","A_Trustlag",147,0
"angry","~","angrylag",147,0
"argument","~","argumentlag",147,0
"C_Org","~","C_Orglag",147,0
"C_Prdctv","~","C_Prdctvlag",147,0
"C_Rspnbl","~","C_Rspnbllag",147,0
"E_Assert","~","E_Assertlag",147,0
"E_EnerLev","~","E_EnerLevlag",147,0
"E_Scblty","~","E_Scbltylag",147,0
"N_Anxty","~","N_Anxtylag",147,0
"N_Depr","~","N_Deprlag",147,0
"N_EmoVol","~","N_EmoVollag",147,0
"O_AesSens","~","O_AesSenslag",147,0
"O_CrtvImag","~","O_CrtvImaglag",147,0
"O_IntCur","~","O_IntCurlag",147,0
"angry","~","N_Depr",0,47
"N_Depr","~","angry",0,45
"angry","~","A_Cmpn",0,43
"O_IntCur","~","E_Scblty",0,43
"N_Depr","~","C_Orglag",0,42
"angry","~","E_EnerLevlag",0,42
"argument","~","E_Scblty",0,42
"O_IntCur","~","O_AesSens",0,42
"argument","~","N_Anxtylag",0,40
"N_Anxty","~","N_Depr",0,40
"N_Depr","~","N_EmoVol",0,40
"A_Cmpn","~","A_Rspct",0,39
"A_Rspct","~","A_Trust",0,39
"angry","~","A_Trustlag",0,39
"O_AesSens","~","C_Rspnbl",0,39
"N_EmoVol","~","E_EnerLevlag",0,39
"angry","~","N_Anxty",0,39
"angry","~","N_EmoVol",0,39
"N_Depr","~","angrylag",0,38
"N_Anxty","~","C_Orglag",0,38
"angry","~","E_Scbltylag",0,38
"E_Scblty","~","N_EmoVol",0,38
"angry","~","O_AesSens",0,38
"angry","~","O_IntCur",0,38
"N_EmoVol","~","C_Prdctvlag",0,37
"A_Rspct","~","C_Rspnbl",0,37
"O_CrtvImag","~","E_Assert",0,37
"angry","~","A_Trust",0,36
"C_Prdctv","~","C_Rspnbl",0,36
"E_Scblty","~","C_Rspnbl",0,36
"O_IntCur","~","C_Rspnbl",0,36
