"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,-0.4143,0,0,0,0.036,0,0,0,0,0,0,0,0.2467,-0.2476,0,0,0,0.3544,0,0
"E_Assert",0,0,0,0,-0.6216,0,0,0,0,0,-0.6932,0,0.1767,0,0,0,0,-0.203,0,0,0,0,0,0,0,0,0,0,0,0,0.4362,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1662,0,0.2557,0,0,0,0,0,0.4072,0,0,0.4185,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104,-0.3032,-0.1858,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.4894,-0.3588,0,0,-1.3502,-0.0672,1.5424,0.5683,0.006,0.1026,0,1.2182,0,-2.8334,-0.2092,1.359,0.0686,-1.1095,-0.4872,0.2633,0,0.3298,0,-0.429,0,1.076,0.8074,0,0,0.1313,0.2236
"A_Trust",0.589,0.0747,0,-0.3076,0.817,0,0,0,0,0,0,0,0,0,0,0,0,0.6075,0,0,-0.4507,-0.2318,0,0,0,0,0,0,0,0,0,0
"C_Org",0.2643,0,0,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3865,0,0.2849,-0.0897,-0.0047,-0.1961,0,0.2339,0,0,-0.2286,-0.4155,0,0
"C_Prdctv",0,0,0,0,0,0.2786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257,0,0,0,0,-0.3421,0.2617,0,0
"C_Rspnbl",0.163,0,0,0,-0.2447,0.0112,0,0,0,-0.2805,0,0,0.1526,-0.569,0,0.1543,0,0,0,0,-0.3528,0,0,0,0.2187,0,0,0,0.1298,0,0,0
"N_Anxty",0,0.1383,-0.3805,0,-0.3343,0,0,0,0,0,0,0,0,0,0,0,0,-0.3314,0,-0.1137,0,0,0.2008,0,0,0.1158,0.7042,0,-0.349,0,0,-0.262
"N_Depr",-0.2091,0.5709,0,0,-0.1059,0.2873,-0.1568,0,0,0,0,0,-0.071,-0.5399,0.2598,0.2673,0,0,0,0.5289,0,0,-0.4543,0.3447,0,0,-0.4596,0,0,-0.3326,-0.4099,0.4177
"N_EmoVol",0,0,0,-0.1422,0,0,0.2106,0,0,0,0,0,0,0,-0.2474,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0,0,0,0
"O_IntCur",0,0,0,0,0.319,0.702,0,0,0,0,0,0.3589,0,0,0,0,0,0,0,0.3291,0,0,0,0,0,0,0,-0.3449,0.0763,0,0,0
"O_AesSens",0,0,0.3195,0,0,0,0,0,0.4923,-0.3454,0,0.1605,-0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6106,-0.4696,0
"O_CrtvImag",-0.1366,0,0,0,0,0,0,0.4212,0,0,0,0,0.6724,-0.126,0,0,0.3088,0,-0.6312,-0.1983,-0.0397,0,0.1503,0,-0.0861,-0.2218,0,0.1864,0,0,0.2709,0
"angry",0,-0.2026,0,-0.4607,0,0,0.3151,0,0,0,0,0,0,0,0,0,0,0,0,0.1811,0,0,0,0.3148,0,0,0,0,0.2038,0,0,0.0441
