"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",1197.6314,243,317,0,0.1916,0.1057,-0.357,0.3352,5533.9999,4686.7131,-2026.3566,"converged normally"
"02",261.8796,237,323,0.1281,0.0342,0.0706,0.8968,0.9507,4319.5888,3512.1503,-1433.0751,"converged normally"
"03",717.4341,221,339,0,0.1554,0.079,0.0126,0.5601,5256.8018,4398.2506,-1860.1253,"converged normally"
"05",279.7888,251,309,0.1023,0.0359,0.0647,0.9076,0.9533,4472.8438,3703.8552,-1542.9276,"converged normally"
"06",1737.9684,284,276,0,0.2385,0.1308,-0.2159,0.3038,2915.8159,2225.8684,-836.9342,"converged normally"
"07",1502.5515,271,289,0,0.2235,0.1307,-0.2938,0.2931,3929.2174,3203.579,-1312.7895,"converged normally"
"08",716.1216,157,403,0,0.2,0.0883,-0.6703,0.4713,4482.0027,3479.0822,-1336.5411,"converged normally"
"09",932.7921,257,303,0,0.1719,0.0986,-0.1288,0.4151,4682.0811,3928.0243,-1661.0121,"converged normally"
"10",492.7477,214,346,0,0.1203,0.0921,0.316,0.7049,4602.7279,3737.7937,-1522.8969,"converged normally"
"100",2099.2152,285,275,0,0.2645,0.1279,-0.0785,0.3803,1797.8413,1107.3549,-278.6775,"converged normally"
"101",1930.4405,280,280,0,0.2559,0.0999,-0.2335,0.3036,2973.7408,2273.7941,-856.897,"converged normally"
"102",2118.7476,284,276,0,0.2679,0.1223,-0.2927,0.2599,3088.4044,2398.4569,-923.2285,"converged normally"
"103",330.3963,318,242,0.3044,0.0191,0.0822,0.9324,0.9566,5823.3266,5176.502,-2346.251,"converged normally"
"104",1395.3928,203,357,0,0.2487,0.0988,-0.4926,0.3891,4225.6181,3313.884,-1299.942,"converged normally"
"105",341.6069,330,230,0.3183,0.0176,0.0795,0.941,0.9608,7336.7814,6709.4822,-3124.7411,"converged normally"
"106",342.1007,319,241,0.1789,0.0244,0.0727,0.9261,0.9524,6754.2241,6078.455,-2798.2275,"converged normally"
"107",315.6215,297,263,0.2189,0.0223,0.096,0.9166,0.9501,5604.2766,4858.3345,-2166.1672,"converged normally"
"108",345.2146,333,227,0.3109,0.0165,0.0748,0.9378,0.9583,7162.7471,6504.9375,-3025.4687,"converged normally"
"11",1434.086,254,306,0,0.2285,0.1091,-0.2721,0.3486,4659.8709,3898.3481,-1643.1741,"converged normally"
"110",830.9552,359,201,0,0.1215,0.1531,0.1873,0.4118,4743.827,4243.6111,-1920.8055,"converged normally"
"111",1299.5532,241,319,0,0.2222,0.091,-0.2289,0.4029,3846.2475,3052.3725,-1207.1863,"converged normally"
"112",321.2162,302,258,0.2139,0.0262,0.0886,0.9211,0.9519,6474.2587,5820.848,-2652.424,"converged normally"
