"lhs","op","rhs","count.group","count.ind"
"A_Cmpn","~","A_Cmpnlag",153,0
"A_Rspct","~","A_Rspctlag",153,0
"A_Trust","~","A_Trustlag",153,0
"angry","~","angrylag",153,0
"C_Org","~","C_Orglag",153,0
"C_Prdctv","~","C_Prdctvlag",153,0
"C_Rspnbl","~","C_Rspnbllag",153,0
"E_Assert","~","E_Assertlag",153,0
"E_EnerLev","~","E_EnerLevlag",153,0
"E_Scblty","~","E_Scbltylag",153,0
"N_Anxty","~","N_Anxtylag",153,0
"N_Depr","~","N_Deprlag",153,0
"N_EmoVol","~","N_EmoVollag",153,0
"O_AesSens","~","O_AesSenslag",153,0
"O_CrtvImag","~","O_CrtvImaglag",153,0
"O_IntCur","~","O_IntCurlag",153,0
"angry","~","C_Org",0,52
"N_Depr","~","angry",0,50
"O_AesSens","~","O_IntCur",0,49
"angry","~","N_Depr",0,48
"angry","~","O_AesSens",0,48
"angry","~","N_EmoVol",0,46
"angry","~","A_Rspct",0,44
"angry","~","E_Scbltylag",0,44
"N_Depr","~","N_Anxty",0,44
"N_Anxty","~","N_Depr",0,44
"N_Depr","~","N_EmoVol",0,44
"C_Org","~","A_Cmpn",0,43
"angry","~","A_Trustlag",0,43
"angry","~","E_Assertlag",0,43
"angry","~","E_EnerLevlag",0,42
"O_IntCur","~","E_Scblty",0,42
"O_IntCur","~","O_AesSens",0,42
"angry","~","O_IntCur",0,42
"angry","~","A_Cmpn",0,41
"angry","~","C_Rspnbl",0,41
"C_Prdctv","~","C_Rspnbl",0,41
"E_EnerLev","~","E_Scblty",0,41
"N_EmoVol","~","N_Depr",0,41
"angry","~","O_IntCurlag",0,41
"N_Depr","~","angrylag",0,40
"C_Rspnbl","~","C_Prdctv",0,40
"C_Org","~","C_Rspnbl",0,40
"angry","~","O_AesSenslag",0,40
"O_IntCur","~","A_Rspct",0,39
"A_Rspct","~","angrylag",0,39
"A_Rspct","~","C_Rspnbl",0,39
"O_CrtvImag","~","E_Assert",0,39
"angry","~","N_Anxty",0,39
"angry","~","N_EmoVollag",0,39
"A_Cmpn","~","O_CrtvImag",0,39
