"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972,0.1588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0.0581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0973,0.0598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1484,0,0,0,0,0,0,0,0,0.0869,0,0,0,0,0.219,0,0,0,0.0892,0,0,0.0884,0,0,0,0,0,0,0,0,0,0,0.0939
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869,0,0,0,0,0,0,0.1008,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.0992,0,0,0.1281,0,0,0,0,0,0,0,0,0,0,0.0888,0.1432,0,0,0.0961,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864,0,0,0,0,0,0.1087,0,0,0,0,0,0,0,0,0,0,0.1047
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1019,0,0,0,0,0.0743,0,0,0,0,0
"C_Prdctv",0,0,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934,0,0.1859,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0.0718,0.0526,0,0,0,0,0,0.0446,0,0,0,0,0,0,0,0,0.1017,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.0547,0,0,0,0,0,0.0655,0,0,0,0,0,0,0,0,0,0,0,0.1091,0,0,0.0874,0,0,0.0678,0,0,0.1585,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1466,0,0,0,0,0,0,0,0,0.0928,0,0,0.1142,0,0,0
"N_EmoVol",0,0,0.0721,0,0.081,0,0,0,0,0,0,0,0.0811,0,0,0,0,0,0,0.0815,0,0.0942,0,0,0,0,0,0,0.0971,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0.0806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1103,0,0,0,0
"O_AesSens",0.0788,0,0,0,0,0.0684,0.1222,0,0,0,0,0,0,0,0,0,0,0,0.1383,0,0,0,0,0,0,0,0,0,0,0,0.0967,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0.1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1086,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529,0,0,0,0,0.1364
"sick",0,0,0,0,0,0.0396,0,0.0327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516,0,0,0,0,0,0,0,0,0,0,0.1392,0
