"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0.744,0,0,0,0,-0.3938,0,0,0.2562,-0.0602,0,-0.2502,0,0,0,-0.1905,0,0,0.2998,-0.3087,-0.333,0.1936,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,-1.1709,0.2609,0,0,0,0.3189,0,-0.1676,0,0,0.1958,0,0,-0.29,0,0,0,-0.3686,0,-0.6408,0,0,0
"E_EnerLev",0,0.2236,0,0.4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1855,0,0,0,0,0,0,0,0.2749,0,0,0,0,-0.4393,0
"A_Cmpn",0,0,0,0,-0.1899,0,0,0,0,0,0,0,0.3445,0,0.0614,0,0,0,0,0,0.2061,-0.1882,0.2303,-0.3187,0,0.1398,0,0,0.1696,0,0,0.1834,0.285,0
"A_Rspct",0,0,0,0,0,0,0,0,0.3224,0,0,0,0,0,0,0,0,0,0,0,0,0.2873,0,0,0,0,0,0,0,-0.2275,0,0,0,0
"A_Trust",0,0,0,0.5026,0.5268,0,0.3467,0.2336,-0.4099,-0.0998,-0.571,0,-0.417,0.0408,0,0,0,-0.2356,0.5005,-0.2337,0,0,0.2886,0,0,0.307,0.1575,0.3767,0.4053,0,0,-0.1291,-0.3857,0
"C_Org",0.1587,0,0,-0.1377,0,0.0701,0,0,0.2582,0,0,0,0,0,0,-0.5281,0,0,0,0,0,0,0,-0.1943,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,1.9149,0,0,-0.3988,0,0,0,0,0,0,-0.9094,0,0,0,0.6896,0,0,0,0,0,-0.4753,0,0,-0.6617,0,0,-0.8618,0.909,0,0,-0.6069,0,0
"C_Rspnbl",-0.6355,0,0,0,0,0,0,0,0,0,0,0,0,0.5755,0,0,0,0,0,0,0,0,0,0,0,0.1254,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,-0.1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1423,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0.2467,0,0,-0.1945,0,0,0,0,0,0,0.1685,0,0,0,-0.3235,0,-0.2608,0.3266,0,0,0,0,0.0186,0.0746,0,0,0,0,0
"N_EmoVol",0.374,0.337,0,0,0,-0.727,0,-0.0342,0.091,0.3182,-0.101,0,1.8853,0.9433,-0.2794,0.5464,-1.1091,0,1.9528,0,1.0515,-0.2484,-0.4616,0,-0.238,-0.9011,0.2989,-0.6279,2.3751,-1.8278,0,0,-0.2006,-0.6657
"O_IntCur",-0.116,-0.2313,0,0,0.1761,0,0.2368,0,0,-0.1391,0,0,0,0.2035,0.1401,0,-0.2014,0,-0.1323,0,0,0.7205,-0.0658,0,0,0.175,-0.191,0,-0.4768,0.0414,-0.2338,0,0,0
"O_AesSens",0,0,0,-0.6271,0,0.9033,0,2.2531,-0.7936,0.1054,0,-1.6087,0,0,0,-0.5085,0,0,-1.2643,0,0,-0.1851,0,0,0,0,0,0,0,1.0797,-0.4957,0,0,0.3034
"O_CrtvImag",0.1218,0,0,0,0.1626,0,0,0,0,0,0,0,0,0,0,0,0,-0.2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3283,0,0
"angry",0,0,0,0,0,0,0,-0.4684,0,0,0,0,0,-0.688,0.25,0,0,0,0.3495,0,0,0,-0.2498,0,0,0,0,0,0,-0.3838,0,0,0,-0.19
"sick",0,0,0,0,0,0,0.2253,0,0,0,0,0,0,0,0,0,0,-0.3551,0,0.1637,-0.261,0,0,0,0,0,0.2306,0,0,0.5621,0,0,-0.0244,0
