"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0.0527,0,0,0,0,0,0,0,0,0,0.0911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0.0888,0,0,0,0.0872,0.053,0.0774,0,0,0.1365,0,0,0,0,0,0,0.0762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0.0675,0,0,0,0,0.1038,0,0,0,0,0,0,0,0.0948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0.1513,0.0999,0,0.0878,0,0,0,0,0.1232,0.0939,0.099,0.4003,0,0,0,0,0.0896,0,0.1162,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0.0653,0,0,0,0,0,0,0,0,0.2371,0.1383,0,0.0762,0,0,0.1313,0,0,0.0557,0,0,0,0.1128,0,0,0,0,0
"A_Trust",0,0.0433,0,0,0,0,0.0566,0,0,0.0461,0,0,0,0,0,0,0,0,0,0.0794,0.054,0,0.0771,0,0.0382,0,0,0,0,0,0,0,0,0
"C_Org",0.0573,0,0,0,0,0,0,0,0,0.0571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0.2049,0.3328,0,0,0,0.1254,0.1101,0,0,0,0,0,0,0,0,0,0,0,0,0.1849,0,0.0876,0,0,0,0,0,0,0,0.5613,0
"C_Rspnbl",0,0,0.0765,0.0809,0,0,0,0,0,0.0629,0,0,0,0.0795,0,0,0,0,0,0,0,0,0,0,0,0.0864,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0.3106,0
"N_Depr",0,0,0.2023,0,0.6594,0,0,0.1867,0,0,0,0.3149,0.3072,0,0.27,0,0.327,0,0,0,0.209,0,0,0,0,0,0,0.353,0,0,0,0,1.0898,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0.0731,0,0,0,0.0552,0,0,0,0,0,0,0,0,0,0,0,0.0838,0,0,0,0,0.0631
"O_IntCur",0.0382,0.0408,0,0,0,0,0.0498,0,0,0,0,0,0,0.0504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"O_AesSens",0,0,0,0,0.1312,0,0,0,0,0,0,0,0,0,0,0,0.0729,0,0,0,0.0709,0,0,0,0,0,0,0,0.1053,0,0.0816,0,0.3016,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0.2874,0,0,0,0,0,0,0.0976,0,0,0.1089,0,0,0,0,0,0,0,0,0,0,0.1543,0,0
"angry",0,0,25.2493,0,0,0,0,0,0,0,57.8926,0,0,0,113.0484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5095
"sick",0,0,0,0.0525,0,0,0,0,0,0,0,0.0459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1157,0
