"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",1913.9768,342,287,0,0.2073,0.1326,-0.3474,0.1786,5592.2195,4825.1176,-2125.5588,"converged normally"
"02",326.214,176,453,0,0.0974,0.0515,0.4161,0.8168,4545.0118,3412.598,-1253.299,"converged normally"
"03",1412.6069,225,404,0,0.2382,0.0894,-0.6448,0.3403,5482.0559,4458.8857,-1825.4428,"converged normally"
"05",296.2502,258,371,0.0509,0.0408,0.0835,0.8926,0.9506,4564.5113,3641.2273,-1449.6136,"converged normally"
"06",1990.0278,334,295,0,0.2347,0.1268,-0.195,0.2886,2988.8509,2251.407,-830.7035,"converged normally"
"07",2059.7732,329,300,0,0.2404,0.1461,-0.371,0.196,4093.5231,3340.2652,-1370.1326,"converged normally"
"08",910.2932,228,401,0,0.1834,0.1074,-0.1765,0.5218,4200.0664,3202.1233,-1200.0616,"converged normally"
"09",1030.0354,217,412,0,0.2052,0.1265,-0.3541,0.4762,4831.7233,3806.4051,-1491.2026,"converged normally"
"10",1114.2368,244,385,0,0.1991,0.1136,-0.256,0.4537,4713.5597,3751.133,-1490.5665,"converged normally"
"100",2507.232,323,306,0,0.2726,0.135,-0.1259,0.3517,1869.8585,1101.5354,-244.7677,"converged normally"
"101",2326.1458,286,343,0,0.2815,0.095,-0.3258,0.3241,2944.1103,2086.6756,-700.3378,"converged normally"
"102",2525.8957,349,280,0,0.2633,0.1246,-0.2301,0.2348,3141.8064,2441.8597,-940.9299,"converged normally"
"103",372.8598,357,272,0.271,0.0204,0.0791,0.9301,0.9555,6007.6169,5280.6074,-2368.3037,"converged normally"
"104",1346.0044,265,364,0,0.2072,0.1076,-0.1674,0.4486,4136.0266,3206.4154,-1239.2077,"converged normally"
"105",387.2973,371,258,0.2696,0.0197,0.0814,0.9325,0.9554,7336.9717,6633.3056,-3058.6528,"converged normally"
"106",377.3642,350,279,0.1507,0.0253,0.0748,0.9213,0.9509,6747.63,5965.3081,-2703.6541,"converged normally"
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"108",394.7312,379,250,0.2783,0.0176,0.0751,0.9333,0.9549,7173.6726,6449.2126,-2974.6063,"converged normally"
"11",1379.2006,258,371,0,0.221,0.1032,-0.287,0.4081,4821.4925,3898.2084,-1578.1042,"converged normally"
"110",1308.7342,406,223,0,0.1581,0.1329,0.0346,0.3013,4798.165,4243.1991,-1898.5996,"converged normally"
"111",1656.8871,282,347,0,0.2341,0.0948,-0.259,0.3671,3913.5061,3049.9493,-1177.9747,"converged normally"
"112",311.7539,285,344,0.1324,0.0318,0.0807,0.9065,0.9525,6644.7155,5773.5013,-2542.7506,"converged normally"
"113",1697.0462,317,312,0,0.2212,0.1056,-0.2192,0.3111,5215.9026,4439.4481,-1907.724,"converged normally"
"115",1816.5413,286,343,0,0.2452,0.1171,-0.2158,0.3802,4431.6669,3578.0647,-1446.0323,"converged normally"
"116",2270.1601,354,275,0,0.2466,0.1554,-0.0274,0.3517,2946.9383,2262.5633,-856.2816,"converged normally"
"117",1715.0734,333,296,0,0.209,0.1301,-0.2125,0.2803,4508.1921,3752.2445,-1580.1223,"converged normally"
"118",1842.7071,308,321,0,0.2199,0.1038,-0.2837,0.2952,4064.592,3218.844,-1288.422,"converged normally"
"119",341.5337,313,316,0.1284,0.031,0.0819,0.9127,0.9513,4866.8996,4059.8745,-1713.9372,"converged normally"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"121",1163.6062,229,400,0,0.2073,0.0898,-0.2164,0.5035,4897.1266,3875.5758,-1537.7879,"converged normally"
"122",1906.7311,321,308,0,0.2343,0.131,-0.1972,0.315,3688.7522,2918.8108,-1151.4054,"converged normally"
"123",377.7681,355,274,0.1944,0.0251,0.0893,0.9223,0.9508,5113.3269,4394.0843,-1923.0422,"converged normally"
"124",700.8165,228,401,0,0.147,0.0869,-0.0229,0.5843,5035.6654,4007.3618,-1602.6809,"converged normally"
"126",1286.321,285,344,0,0.1812,0.0907,-0.1504,0.4156,6206.8604,5287.4073,-2299.7036,"converged normally"
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"129",1111.3641,249,380,0,0.1743,0.0872,-0.2371,0.4509,6240.5612,5200.8058,-2220.4029,"converged normally"
"131",2106.2467,279,350,0,0.2585,0.1167,-0.4163,0.2956,4243.2263,3338.4877,-1319.2438,"converged normally"
"132",1088.3279,269,360,0,0.185,0.1032,-0.1531,0.4471,4162.4442,3266.5351,-1273.2676,"converged normally"
"133",1764.2013,288,341,0,0.2386,0.1036,-0.2645,0.3508,5855.8102,5003.3751,-2160.6875,"converged normally"
"135",337.9653,316,313,0.1893,0.0261,0.0778,0.9181,0.9539,5080.5246,4258.9081,-1816.4541,"converged normally"
"136",2505.6186,332,297,0,0.2712,0.1272,-0.2181,0.2791,2057.2537,1318.1287,-362.0643,"converged normally"
"137",2401.7117,367,262,0,0.2496,0.1187,-0.0706,0.2996,2309.7796,1657.7569,-566.8784,"converged normally"
"138",2346.5616,370,259,0,0.245,0.1408,-0.1995,0.2089,2875.9876,2231.4308,-856.7154,"converged normally"
"139",1883.3412,333,296,0,0.1557,0.1211,0.0947,0.4626,3427.175,2462.9563,-935.4782,"converged normally"
"14",1436.9534,305,324,0,0.1871,0.1156,-0.2507,0.32,4747.6394,3884.6851,-1618.3426,"converged normally"
"143",1306.9548,282,347,0,0.1748,0.0917,0.0199,0.5073,4473.3325,3508.9767,-1407.4883,"converged normally"
"146",385.4391,371,258,0.2919,0.0149,0.0775,0.9252,0.9505,7096.1474,6278.1625,-2881.0813,"converged normally"
"147",1766.4356,330,299,0,0.2076,0.1187,-0.1271,0.337,5422.4471,4640.5261,-2021.263,"converged normally"
"148",1038.912,278,351,0,0.1351,0.0788,0.1412,0.5744,6132.4053,5075.6723,-2186.8362,"converged normally"
"149",342.1501,319,310,0.1784,0.0203,0.0787,0.9152,0.9518,7955.7893,6972.9392,-3176.4696,"converged normally"
"15",1353.5706,237,392,0,0.2288,0.0903,-0.5115,0.3615,4175.8058,3195.8804,-1205.9402,"converged normally"
