"lhs","op","rhs","count.group","count.ind"
"A_Cmpn","~","A_Cmpnlag",147,0
"A_Rspct","~","A_Rspctlag",147,0
"A_Trust","~","A_Trustlag",147,0
"angry","~","angrylag",147,0
"C_Org","~","C_Orglag",147,0
"C_Prdctv","~","C_Prdctvlag",147,0
"C_Rspnbl","~","C_Rspnbllag",147,0
"E_Assert","~","E_Assertlag",147,0
"E_EnerLev","~","E_EnerLevlag",147,0
"E_Scblty","~","E_Scbltylag",147,0
"N_Anxty","~","N_Anxtylag",147,0
"N_Depr","~","N_Deprlag",147,0
"N_EmoVol","~","N_EmoVollag",147,0
"O_AesSens","~","O_AesSenslag",147,0
"O_CrtvImag","~","O_CrtvImaglag",147,0
"O_IntCur","~","O_IntCurlag",147,0
"sick","~","sicklag",147,0
"N_Depr","~","angry",0,48
"angry","~","O_AesSens",0,45
"angry","~","E_EnerLevlag",0,44
"sick","~","N_Anxty",0,44
"N_Depr","~","angrylag",0,41
"sick","~","C_Org",0,41
"sick","~","E_EnerLev",0,41
"angry","~","N_EmoVol",0,41
"E_Scblty","~","C_Rspnbl",0,40
"O_IntCur","~","E_Scblty",0,40
"angry","~","N_Depr",0,40
"N_EmoVol","~","N_Depr",0,40
"angry","~","A_Cmpn",0,39
"angry","~","A_Trustlag",0,39
"N_Depr","~","N_EmoVol",0,39
"sick","~","N_EmoVol",0,39
"A_Cmpn","~","A_Rspct",0,38
"angry","~","A_Trust",0,38
"angry","~","E_Assert",0,38
"angry","~","E_EnerLev",0,38
"C_Rspnbl","~","O_AesSens",0,38
"O_IntCur","~","O_AesSens",0,38
"O_AesSens","~","O_IntCur",0,38
"angry","~","O_IntCurlag",0,38
"N_EmoVol","~","angry",0,37
"O_CrtvImag","~","C_Rspnbl",0,37
"sick","~","C_Rspnbl",0,37
"A_Cmpn","~","O_CrtvImag",0,37
"sick","~","O_CrtvImag",0,37
"N_Depr","~","O_IntCur",0,37
"sick","~","O_IntCurlag",0,37
"angry","~","A_Rspct",0,36
"sick","~","A_Rspctlag",0,36
