"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","tired","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","tiredlag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1616,0,0,0,0,0,0,0,0.3145,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0.2073,0,0,0,0,0,0,0,0,0,0,0.1278,0,0,0,0,0,0,0,0.3012,0,0,0,0,0,0
"A_Cmpn",0.2599,0,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1164,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.1854,0,0,0,0,0,0,-0.6011,0,0.2283,0,0,0,0,0,0,-0.3544,0,-0.023,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2045,0,0,0,0,0.2527,0,-0.1922,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2261,0,0,0,-0.0303,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,-0.2696,0,0,0.2338,0,0,0,0,0,0,0,0,0,-0.1854,0.1462,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1478,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,-0.2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1861,0,0,-0.1306,0,0,0,0,0,0,0
"N_Depr",0,-0.3055,-0.2731,0,0.3016,0,0,0,-0.2493,0.3758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5276,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1425,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2921,0,0,0,0,0,0,0,0,0,-0.0683,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231,0,0,0.253,0,0,0,0,0,0,0,0,-0.1367,0.2411,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2232,0,0,0,0,0,0,0,-0.2588,0,0.0295,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0.4788,-0.2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2964,0,0,0,-0.0852
"tired",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0831,0
