"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","tired","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","tiredlag","angrylag"
"E_Scblty",0,0,0,0,0.2791,0,0.1778,0,0.163,0,0.2616,0.1585,0,0,0,0,0,0.1312,0,0,0.2239,0,0,0,0,0,0,0,0,0,0.124,0,0.3231,0
"E_Assert",0,0,0,0.1839,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0.1227,0,0,0,0,0,0,0,0,0,0.1251,0,0,0,0.2363,0
"E_EnerLev",0,0,0,0.151,0,0.1051,0,0,0.1017,0,0,0,0.1045,0,0,0.251,0,0,0,0.1172,0,0,0.0888,0,0.1451,0,0,0.1313,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0.1121,0,0,0,0,0,0,0,0,0,0,0,0.1287,0,0,0,0.1085,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0.0918,0,0,0,0,0,0,0,0,0,0,0.0546,0,0,0.1901,0,0.0584,0,0,0.1041,0,0,0,0,0,0,0,0.0775,0,0,0,0.1209
"A_Trust",0,0,0,0,0,0,0.123,0,0,0,0.1126,0,0.0745,0,0.0878,0,0,0,0,0.1096,0.1035,0.1269,0.0725,0,0,0.0697,0.0788,0,0,0.0843,0.0759,0.0809,0,0
"C_Org",0,0,0,0,0,0.1096,0,0.2142,0,0,0,0,0,0,0,0,0,0,0,0.1469,0,0,0,0.112,0,0,0.1109,0,0,0.0953,0,0,0.1875,0.2353
"C_Prdctv",0,0,0,0,0,0,0.1477,0,0,0,0,0,0,0.0637,0.0741,0,0,0.0637,0,0.1139,0,0.1392,0,0,0.0905,0,0.0899,0,0,0,0,0,0,0.169
"C_Rspnbl",0.2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4356,0,0,0,0,0,0,0,0,0,0.1614,0,0,0.1486,0,0,0.2237,0.3923,0.3365
"N_Anxty",0.0939,0,0,0,0,0,0,0,0,0,0,0,0.1053,0,0,0,0.2274,0,0.1109,0,0,0,0,0,0.1558,0,0.1075,0,0,0,0,0.1371,0,0
"N_Depr",0,0,0,0,0,0,0.0812,0.0834,0,0.076,0,0,0,0.0857,0,0,0,0,0,0,0,0,0,0.102,0,0.0713,0,0.0963,0.0599,0,0.0618,0,0.147,0
"N_EmoVol",0.0702,0.0644,0.0837,0,0,0,0,0.1277,0.0743,0.0852,0.0988,0,0.0781,0.0726,0,0,0,0.0727,0,0.1057,0,0,0,0,0,0,0.0772,0.1011,0.0772,0,0.0627,0.1113,0,0
"O_IntCur",0.0081,0.0078,0.0246,0,0.0244,0.0177,0,0,0.0113,0.0104,0.0151,0,0,0.0118,0.0161,0,0,0.0063,0.0094,0.0131,0.0168,0.0265,0.0164,0,0,0,0.0108,0.0087,0.0079,0.0104,0.0156,0,0.0243,0.0176
"O_AesSens",0,0,0,0,0,0.1667,0,0,0,0,0.2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1362,0,0,0
"O_CrtvImag",0,0,0.1187,0,0,0,0,0,0.0857,0,0,0,0.0871,0,0,0,0.1711,0,0.089,0,0,0,0,0,0,0.0869,0.0954,0.1174,0,0,0,0.1134,0.2013,0
"angry",0.0405,0,0,0,0,0,0,0,0,0,0,0,0.0505,0,0,0,0,0,0,0,0,0,0,0,0,0.0385,0,0,0.0418,0.0478,0,0,0,0.0841
"tired",0,0,0.0958,0,0.1385,0,0,0,0,0,0.088,0,0.0629,0,0,0,0,0,0.0613,0,0.0866,0,0,0,0,0.0509,0.0574,0,0,0,0,0,0.1492,0
