"lhs","op","rhs","count.group","count.ind"
"A_Cmpn","~","A_Cmpnlag",150,0
"A_Rspct","~","A_Rspctlag",150,0
"A_Trust","~","A_Trustlag",150,0
"angry","~","angrylag",150,0
"C_Org","~","C_Orglag",150,0
"C_Prdctv","~","C_Prdctvlag",150,0
"C_Rspnbl","~","C_Rspnbllag",150,0
"E_Assert","~","E_Assertlag",150,0
"E_EnerLev","~","E_EnerLevlag",150,0
"E_Scblty","~","E_Scbltylag",150,0
"N_Anxty","~","N_Anxtylag",150,0
"N_Depr","~","N_Deprlag",150,0
"N_EmoVol","~","N_EmoVollag",150,0
"O_AesSens","~","O_AesSenslag",150,0
"O_CrtvImag","~","O_CrtvImaglag",150,0
"O_IntCur","~","O_IntCurlag",150,0
"tired","~","tiredlag",150,0
"angry","~","N_Depr",0,51
"O_AesSens","~","O_IntCur",0,46
"N_Depr","~","angry",0,45
"tired","~","N_EmoVol",0,45
"angry","~","O_AesSens",0,45
"angry","~","C_Org",0,43
"C_Prdctv","~","C_Rspnbl",0,43
"angry","~","N_EmoVol",0,43
"tired","~","A_Trust",0,42
"angry","~","A_Trustlag",0,42
"angry","~","C_Prdctv",0,42
"O_IntCur","~","E_Scblty",0,42
"angry","~","O_IntCurlag",0,42
"N_Depr","~","N_Anxty",0,41
"N_Depr","~","N_EmoVol",0,41
"angry","~","A_Cmpn",0,40
"O_IntCur","~","E_Assert",0,40
"tired","~","A_Rspct",0,39
"N_Depr","~","angrylag",0,39
"tired","~","N_Depr",0,39
"C_Rspnbl","~","C_Org",0,38
"A_Rspct","~","C_Rspnbl",0,38
"angry","~","E_Scbltylag",0,38
"A_Rspct","~","N_Anxty",0,38
"C_Prdctv","~","O_CrtvImag",0,38
"A_Rspct","~","A_Cmpn",0,37
"C_Rspnbl","~","A_Cmpn",0,37
"tired","~","E_Assert",0,37
"N_EmoVol","~","E_EnerLev",0,37
"angry","~","E_EnerLevlag",0,37
"angry","~","E_Scblty",0,37
"tired","~","E_Scblty",0,37
"N_Anxty","~","N_Depr",0,37
"N_EmoVol","~","N_Depr",0,37
"angry","~","O_IntCur",0,37
"C_Org","~","A_Cmpn",0,36
"angry","~","A_Trust",0,36
"C_Rspnbl","~","C_Prdctv",0,36
"angry","~","E_Assert",0,36
"C_Rspnbl","~","E_Assert",0,36
"O_AesSens","~","E_EnerLev",0,36
"C_Rspnbl","~","O_AesSens",0,36
"E_Assert","~","O_CrtvImag",0,36
"tired","~","A_Cmpn",0,35
