"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0.06,0,0,0,0.1108,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0,0,0,0.0882,0,0,0,0,0,0,0,0.1646,0,0,0,0,0,0,0,0,0
"C_lazy",0,0,0,0.0836,0,0,0.1397,0,0,0.0827,0,0,0,0.0984,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,0,0,0,0.1404,0,0,0,0.1191,0,0,0,0,0,0,0
"N_depressed",0.0161,0.0103,0,0,0.0075,0,0,0.0099,0,0,0,0,0,0.0081,0,0,0,0,0,0.2873,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1626,0.1323,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1215,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0,0.0684,0,0,0,0,0,0,0.0643,0,0,0.1555,0,0,0,0
"N_worried",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1254,0,0,0
"self_esteem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1229,0
"negEmo",0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0.078,0,0,0,0,0.106
