"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0.1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0.2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_lazy",0,0,0.2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0,0.1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0.4813,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_outgoing",0,0,0,0,0.1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0.2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0.1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_worried",0,0,0,0,0,0,0,0.1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"self_esteem",0,0,0,0,0,0,0,0,0,0.1072,0,0,0,0,0,0,0,0,0,0,0,0
"negEmo",0,0,0,0,0,0,0,0,0,0,0.2257,0,0,0,0,0,0,0,0,0,0,0
