"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,1.3255,0,0.0913,0.1775,0.4407,0,0,0,0.6769,0.3048,-0.2572,0,0.1481,-0.4514,0,-0.0626,0,0,0,-0.1876
"E_quiet",-1.1612,0,-0.7906,0.5328,-1.1416,0.3254,0,1.0719,0.1444,-1.0171,-0.4464,0.6323,-0.2483,0.4101,0.2991,-1.1758,-0.8908,-0.5792,0.1225,-1.0136,-1.0785,0.6837
"C_lazy",-0.4456,0,0,0,-0.6012,-0.686,0,0.8055,0,0,1.2434,0.3024,0,0.4037,-0.2302,0,0,0,-0.3146,-1.5772,-0.3146,0.5043
"N_relaxed",-0.218,0,0,0,0.232,0.5159,-0.0815,0,0,0,0,0,-0.1294,0,-0.1322,-0.0689,0.3423,0.1006,-0.1573,0,0.098,0
"N_depressed",-0.1986,-0.8776,0,-0.2266,0,0,0,-0.3945,0,0.4633,0.1495,-0.0683,0.2427,0.2392,-0.5022,-0.6225,0.3364,0.5545,0.3913,0.2611,-0.1602,-0.1282
"E_outgoing",0,-0.3881,0.1541,0,0,0,0,0,-0.289,-0.0641,0.0091,0,-0.123,0,0,-0.4849,0.0885,-0.1047,0.304,0,-0.0998,0
"A_kind",0,0.0618,0.4458,0.2834,0,0,-0.3545,0,-0.1396,-0.7371,0,-0.3351,-0.4205,-0.0765,0.0233,0,0.1211,0,0.1207,0,0,0
"C_reliable",0,0,0,0.0399,0.4505,0.3603,0,0,-0.1407,0.402,0.231,0,0.0898,-0.226,0,0,0,0.4723,-0.5059,0,0,0.2394
"N_worried",0,0.3209,0,0,0,0,-0.2371,0,-0.1954,0,0.4729,-0.2007,0,-0.2123,0,0,0.2941,0.184,0.2169,0.2379,0,0
"self_esteem",0,0,0,0,0,0,0,0.5924,-0.4008,0,0,0,0,-0.079,0.3968,-0.7676,-0.5008,0,0,0,-0.639,0.6512
"negEmo",-0.6528,0.1722,-0.118,-0.1199,0,-0.2282,0,0.4271,0,0,0,0,-0.1865,0.3851,0,0,0,-0.3098,0,0,-0.1941,0.0806
