"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"287",749.0841,157,220,0,0.1982,0.1303,-0.0721,0.4821,1690.3824,1126.2258,-343.1129,"converged normally"
"564",207.1722,193,184,0.2302,0.0278,0.1013,0.9266,0.9564,3751.4137,3281.5004,-1456.7502,"converged normally"
"882",211.5698,191,186,0.1467,0.0337,0.0808,0.9201,0.953,4192.6159,3717.5948,-1672.7974,"converged normally"
"1044",222.4496,210,167,0.2649,0.025,0.0838,0.9273,0.9531,3819.3883,3392.8908,-1529.4454,"converged normally"
"1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"1960",210.3278,201,176,0.3116,0.0228,0.0767,0.9322,0.9581,3803.1217,3365.1217,-1506.5608,"converged normally"
"2346",864.3315,162,215,0,0.2207,0.1338,-0.0609,0.4712,2058.7411,1523.6843,-546.8421,"converged normally"
"2860",1044.8714,180,197,0,0.2249,0.1255,-0.0597,0.4131,1791.7434,1288.6296,-447.3148,"converged normally"
"3194",525.6418,134,243,0,0.1812,0.094,-0.1255,0.536,3337.0419,2732.3033,-1123.1516,"converged normally"
"4481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"4950",194.6311,179,198,0.201,0.0313,0.0733,0.9173,0.9545,3413.9997,2921.2497,-1262.6248,"converged normally"
"5343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"5567",804.9827,164,213,0,0.2096,0.1305,-0.131,0.4293,3129.7145,2599.6349,-1086.8175,"converged normally"
"5784",727.6995,123,254,0,0.2263,0.0573,-0.1319,0.5716,2378.3367,1726.9923,-609.4961,"converged normally"
"6009",1013.6757,166,211,0,0.2395,0.135,-0.3411,0.315,1952.3322,1427.23,-502.615,"converged normally"
"6236",865.7591,155,222,0,0.227,0.1273,-0.1453,0.4538,2755.1313,2202.654,-879.327,"converged normally"
"6502",795.9623,151,226,0,0.212,0.1279,-0.1698,0.4565,3200.2865,2623.1103,-1085.5552,"converged normally"
"7287",214.3917,195,182,0.1624,0.0322,0.0888,0.9206,0.9524,3562.1755,3095.4641,-1365.7321,"converged normally"
"7668",293.1679,52,325,0,0.2283,0.0508,-1.1672,0.6533,3935.8879,3127.081,-1238.5405,"converged normally"
"7797",615.0514,149,228,0,0.1815,0.0897,-0.1448,0.4752,2560.4104,1978.1264,-761.0632,"converged normally"
"8392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"8499",225.8098,215,162,0.2929,0.0238,0.0851,0.9278,0.9522,2600.2793,2197.1202,-936.5601,"converged normally"
"9006",218.125,208,169,0.3011,0.0226,0.0876,0.9394,0.9612,4310.4707,3878.8655,-1770.4328,"converged normally"
"9086",783.9812,149,228,0,0.2118,0.1065,-0.0887,0.5009,2485.6722,1903.3883,-723.6942,"converged normally"
"9475",1003.0299,169,208,0,0.2355,0.1392,-0.2468,0.3517,3520.9122,3003.2758,-1293.6379,"converged normally"
"9627",778.9174,181,196,0,0.18,0.105,-0.0557,0.412,2986.8794,2472.3848,-1040.1924,"converged normally"
"10042",220.5773,202,175,0.1761,0.0311,0.0759,0.9296,0.9562,3523.9246,3076.9962,-1363.4981,"converged normally"
"10506",885.4935,158,219,0,0.2202,0.0923,-0.1655,0.4334,2028.0445,1468.7454,-515.3727,"converged normally"
"10548",1248.4939,200,177,0,0.2349,0.1297,-0.1894,0.268,1783.2608,1331.2246,-488.6123,"converged normally"
"10579",218.8651,205,172,0.2411,0.0267,0.0912,0.921,0.9502,3086.5772,2647.3104,-1151.6552,"converged normally"
"10622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"10623",208.6435,197,180,0.2713,0.0258,0.0787,0.9233,0.9535,4494.6122,4046.6576,-1843.3288,"converged normally"
"11260",1221.1206,166,211,0,0.2672,0.1239,-0.1762,0.3992,2229.2102,1704.1079,-641.0539,"converged normally"
"11331",1172.4443,157,220,0,0.2696,0.1945,-0.0671,0.4845,2184.5103,1637.0103,-598.5051,"converged normally"
"11991",511.3349,155,222,0,0.1556,0.0946,0.0315,0.5381,3603.195,3036.2343,-1296.1172,"converged normally"
"12377",432.7251,139,238,0,0.1541,0.1078,-0.2894,0.4485,2903.5558,2311.2603,-917.6301,"converged normally"
"12715",617.9968,119,258,0,0.2171,0.104,-0.3736,0.4971,3441.231,2799.1628,-1141.5814,"converged normally"
"13236",990.5164,174,203,0,0.2296,0.1177,-0.1282,0.396,2631.445,2126.2518,-860.1259,"converged normally"
"13433",232.4856,84,293,0,0.1364,0.0545,0.1045,0.7685,3623.0118,2874.7259,-1144.3629,"converged normally"
"13674",682.7717,129,248,0,0.2126,0.12,-0.3842,0.4506,3707.382,3074.0206,-1289.0103,"converged normally"
"14003",223.2774,202,175,0.1454,0.0333,0.0933,0.9214,0.9511,3735.2846,3288.3561,-1469.1781,"converged normally"
"15478",1116.0276,192,185,0,0.2251,0.1448,-0.0677,0.3693,2997.1896,2524.7223,-1077.3612,"converged normally"
"15669",798.8865,121,256,0,0.2428,0.1106,-0.3058,0.5138,3398.4665,2744.674,-1116.337,"converged normally"
"16461",966.1474,197,180,0,0.2027,0.1521,0.0797,0.4422,661.2114,201.5135,79.2432,"converged normally"
"16497",988.4558,168,209,0,0.2255,0.1209,0.008,0.4872,2963.8463,2427.8975,-1004.9487,"converged normally"
"16549",225.8259,92,285,0,0.1237,0.0411,0.1403,0.7567,3879.1023,3151.2474,-1290.6237,"converged normally"
"17588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"17656",201.6024,190,187,0.2684,0.0254,0.083,0.9197,0.9531,2893.0059,2415.431,-1020.7155,"converged normally"
"19497",712.5313,151,226,0,0.1968,0.1381,-0.1782,0.4526,1790.204,1210.6614,-379.3307,"converged normally"
"19599",885.7235,202,175,0,0.195,0.1777,0.0394,0.403,2241.8577,1806.3464,-728.1732,"converged normally"
"20039",490.5772,119,258,0,0.175,0.1338,-0.2582,0.5393,3478.6944,2801.4514,-1142.7257,"converged normally"
"20054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"20215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"20707",164.8969,145,232,0.1235,0.038,0.0747,0.9238,0.966,2121.0577,1528.5583,-532.2791,"converged normally"
"21156",494.8709,137,240,0,0.1658,0.1072,-0.202,0.4933,3423.6035,2810.673,-1165.3365,"converged normally"
"21439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"21701",735.6997,203,174,0,0.1717,0.1309,0.0496,0.4064,2445.8934,2012.8706,-832.4353,"converged normally"
"22652",222.1536,214,163,0.3367,0.02,0.0835,0.9342,0.9567,3673.3831,3257.1011,-1465.5506,"converged normally"
"23423",418.2316,234,143,0,0.091,0.1249,0.1705,0.4028,2699.3069,2334.1025,-1024.0513,"converged normally"
"23812",213.6583,208,169,0.3792,0.0175,0.0896,0.9405,0.9619,2612.4311,2191.8515,-926.9258,"converged normally"
"23980",639.1812,130,247,0,0.2098,0.0766,-0.2082,0.5167,2562.0773,1947.3841,-726.692,"converged normally"
"24000",722.0467,140,237,0,0.2092,0.1327,-0.2394,0.4661,2659.2461,2053.9773,-789.9886,"converged normally"
"24528",398.6017,117,260,0,0.1644,0.1507,0.0219,0.6479,2531.107,1884.0616,-682.0308,"converged normally"
"24827",117.2832,32,345,0,0.1675,0.0527,-1.0919,0.794,3489.5522,2608.4647,-959.2323,"converged normally"
"25017",222.2687,204,173,0.181,0.0307,0.0795,0.928,0.9548,3949.3193,3507.4986,-1580.7493,"converged normally"
"25053",222.9989,215,162,0.3398,0.0204,0.0874,0.9314,0.9546,4394.1498,3990.9907,-1833.4953,"converged normally"
"25083",1183.7916,191,186,0,0.2417,0.1181,0.0464,0.4396,1751.4548,1288.5684,-458.2842,"converged normally"
