"lhs","op","rhs","count.group","count.ind"
"A_kind","~","A_kindlag",233,0
"A_rude","~","A_rudelag",233,0
"C_lazy","~","C_lazylag",233,0
"C_reliable","~","C_reliablelag",233,0
"E_outgoing","~","E_outgoinglag",233,0
"E_quiet","~","E_quietlag",233,0
"N_depressed","~","N_depressedlag",233,0
"N_relaxed","~","N_relaxedlag",233,0
"N_worried","~","N_worriedlag",233,0
"negEmo","~","negEmolag",233,0
"self_esteem","~","self_esteemlag",233,0
"E_quiet","~","E_outgoing",0,102
"E_outgoing","~","E_quiet",0,80
"N_worried","~","negEmo",0,77
"N_depressed","~","N_worried",0,70
"C_reliable","~","C_lazy",0,69
"N_relaxed","~","C_lazy",0,69
"N_depressed","~","negEmo",0,69
"N_relaxed","~","N_worried",0,66
"negEmo","~","N_worried",0,65
"N_relaxed","~","negEmo",0,65
"N_worried","~","N_relaxed",0,61
"negEmo","~","N_relaxed",0,61
"self_esteem","~","negEmo",0,61
"negEmo","~","self_esteem",0,61
"N_depressed","~","C_lazy",0,59
"self_esteem","~","N_worried",0,59
"N_depressed","~","self_esteem",0,59
"E_quiet","~","A_kind",0,58
"self_esteem","~","N_depressed",0,58
"C_lazy","~","N_relaxed",0,58
"E_outgoing","~","A_kind",0,57
"N_relaxed","~","A_kindlag",0,57
"A_kind","~","C_reliable",0,57
"N_worried","~","N_depressed",0,57
"N_relaxed","~","A_kind",0,56
"self_esteem","~","A_kind",0,55
"A_rude","~","N_worried",0,55
"negEmo","~","A_rude",0,54
"N_relaxed","~","E_quietlag",0,54
"N_relaxed","~","N_worriedlag",0,54
"C_lazy","~","negEmo",0,54
"N_worried","~","self_esteem",0,54
"A_rude","~","A_kindlag",0,53
"C_lazy","~","A_rudelag",0,53
"C_lazy","~","C_reliablelag",0,53
"A_kind","~","E_quiet",0,53
"C_lazy","~","E_quiet",0,53
"A_kind","~","N_relaxedlag",0,53
"A_kind","~","N_worried",0,53
"N_worried","~","A_kindlag",0,52
"N_relaxed","~","E_outgoing",0,52
"negEmo","~","N_depressed",0,52
"A_kind","~","N_relaxed",0,52
"E_quiet","~","N_relaxed",0,52
"C_reliable","~","N_worried",0,52
"N_relaxed","~","negEmolag",0,52
"C_reliable","~","self_esteem",0,52
"C_reliable","~","A_kindlag",0,51
"A_rude","~","C_reliable",0,51
"E_outgoing","~","N_relaxed",0,51
"A_kind","~","self_esteem",0,51
"self_esteem","~","A_kindlag",0,50
"A_kind","~","A_rude",0,50
"N_worried","~","C_lazy",0,50
"self_esteem","~","C_lazy",0,50
"E_outgoing","~","negEmo",0,50
"A_kind","~","A_rudelag",0,49
"negEmo","~","A_rudelag",0,49
"N_depressed","~","C_lazylag",0,49
"A_rude","~","C_reliablelag",0,49
"A_kind","~","E_outgoing",0,49
"C_lazy","~","E_outgoing",0,49
"N_depressed","~","E_outgoinglag",0,49
"C_reliable","~","E_quiet",0,49
"E_quiet","~","negEmolag",0,49
"E_outgoing","~","self_esteem",0,49
"E_quiet","~","self_esteemlag",0,49
"A_rude","~","A_kind",0,48
"N_depressed","~","A_rude",0,48
"E_quiet","~","C_lazy",0,48
"N_worried","~","C_reliable",0,48
"N_relaxed","~","E_quiet",0,48
"A_rude","~","N_depressed",0,48
"E_quiet","~","N_relaxedlag",0,48
"A_kind","~","negEmolag",0,48
